filename,width,height,class,xmin,ymin,xmax,ymax
174_DJI_0087 (2).jpg,1920,1080,Mushroom Insulator,977,320,1007,345
342_DJI_0171 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,567,720,788,1080
342_DJI_0171 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,1010,396,1175,685
342_DJI_0171 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,1151,305,1290,559
342_DJI_0171 (2).jpg,1920,1080,Polymer Arrester,1329,579,1419,725
342_DJI_0171 (2).jpg,1920,1080,Polymer Insulator,1186,656,1362,816
113.jpg,1920,1080,Ceramic/Porcelain Insulator,753,365,810,447
113.jpg,1920,1080,Ceramic/Porcelain Insulator,921,451,978,548
113.jpg,1920,1080,Ceramic/Porcelain Insulator,1019,492,1078,617
113.jpg,1920,1080,Polymer Arrester,911,578,961,645
113.jpg,1920,1080,Polymer Arrester,866,553,915,616
113.jpg,1920,1080,Polymer Arrester,711,441,753,499
149.jpg,1920,1080,Ceramic/Porcelain Insulator,1154,71,1286,193
149.jpg,1920,1080,Ceramic/Porcelain Insulator,1523,92,1657,217
149.jpg,1920,1080,Ceramic/Porcelain Insulator,863,1,1001,88
149.jpg,1920,1080,Compression/Crimped Splice,573,381,706,507
149.jpg,1920,1080,Compression/Crimped Splice,946,475,1027,615
451.jpg,1920,1080,Under-mounted Switch,353,532,694,1067
451.jpg,1920,1080,Polymer Arrester,771,415,1017,815
451.jpg,1920,1080,Dead-end Polymer Insulator,990,401,1374,917
25.jpg,1920,1080,Ceramic/Porcelain Insulator,558,295,1343,792
1397.jpg,1920,1080,Ceramic/Porcelain Insulator,837,168,1510,611
147.jpg,1920,1080,Compression/Crimped Splice,501,348,947,765
1218.jpg,1920,1080,Ceramic/Porcelain Insulator,719,101,911,444
1218.jpg,1920,1080,Ceramic/Porcelain Insulator,802,389,1022,769
434.jpg,1920,1080,Under-mounted Switch,373,455,845,1080
434.jpg,1920,1080,Polymer Arrester,831,439,1115,992
434.jpg,1920,1080,Dead-end Polymer Insulator,1427,321,1704,1080
603.jpg,1920,1080,Dead-end Ceramic Insulator,997,187,1610,371
1114.jpg,1920,1080,Polymer Arrester,1517,151,1839,1080
1114.jpg,1920,1080,Dead-end Polymer Insulator,1,541,1519,934
1114.jpg,1920,1080,Ceramic/Porcelain Insulator,575,1,1519,321
571.jpg,1920,1080,Polymer Arrester,851,517,1121,765
571.jpg,1920,1080,Ceramic/Porcelain Insulator,1026,57,1255,445
8_DJI_0004 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,450,668,573,848
8_DJI_0004 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,1013,241,1121,395
8_DJI_0004 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,1203,105,1307,251
1205.jpg,1920,1080,Ceramic/Porcelain Insulator,904,319,960,346
1205.jpg,1920,1080,Ceramic/Porcelain Insulator,904,422,957,452
1205.jpg,1920,1080,Ceramic/Porcelain Insulator,901,534,955,559
1205.jpg,1920,1080,Dead-end Ceramic Insulator,849,350,954,375
1205.jpg,1920,1080,Dead-end Ceramic Insulator,854,468,952,492
1205.jpg,1920,1080,Dead-end Ceramic Insulator,854,574,953,601
332_DJI_0166 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,529,119,641,313
332_DJI_0166 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,1243,91,1337,253
332_DJI_0166 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,1486,80,1577,236
332_DJI_0166 (2).jpg,1920,1080,Polymer Arrester,723,305,806,441
332_DJI_0166 (2).jpg,1920,1080,Polymer Arrester,1385,225,1469,376
332_DJI_0166 (2).jpg,1920,1080,Polymer Arrester,1519,231,1594,339
332_DJI_0166 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,662,683,795,856
332_DJI_0166 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,830,692,963,872
332_DJI_0166 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,1334,716,1487,948
1351.jpg,1920,1080,Ceramic/Porcelain Insulator,815,165,1490,729
1351.jpg,1920,1080,Dead-end Polymer Insulator,1477,899,1849,1080
146.jpg,1920,1080,Ceramic/Porcelain Insulator,875,129,1049,301
318_DJI_0159 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,446,44,542,196
318_DJI_0159 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,703,45,787,181
318_DJI_0159 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,1223,31,1291,153
318_DJI_0159 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,746,369,829,485
318_DJI_0159 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,1021,531,1107,681
318_DJI_0159 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,1175,624,1282,791
1086.jpg,1920,1080,Ceramic/Porcelain Insulator,982,51,1782,573
1086.jpg,1920,1080,Dead-end Polymer Insulator,347,807,1747,1080
188_DJI_0094 (2).jpg,1920,1080,Mushroom Insulator,67,329,249,539
188_DJI_0094 (2).jpg,1920,1080,Mushroom Insulator,1246,163,1406,360
188_DJI_0094 (2).jpg,1920,1080,Mushroom Insulator,1670,131,1805,308
986.jpg,1920,1080,Dead-end Polymer Insulator,783,192,1287,481
986.jpg,1920,1080,Ceramic/Porcelain Insulator,863,507,1331,809
1324.jpg,1920,1080,Ceramic/Porcelain Insulator,635,413,1777,1057
22_DJI_0011 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,283,485,434,688
22_DJI_0011 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,926,287,1051,481
22_DJI_0011 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,1143,227,1270,411
990.jpg,1920,1080,Dead-end Polymer Insulator,962,279,1041,317
990.jpg,1920,1080,Ceramic/Porcelain Insulator,971,316,1039,365
260.jpg,1920,1080,Ceramic/Porcelain Insulator,1230,205,1410,531
260.jpg,1920,1080,Ceramic/Porcelain Insulator,15,55,183,339
260.jpg,1920,1080,Dead-end Ceramic Insulator,807,471,970,785
260.jpg,1920,1080,Dead-end Ceramic Insulator,1770,607,1920,840
260.jpg,1920,1080,Dead-end Ceramic Insulator,1,347,110,538
260.jpg,1920,1080,Polymer Arrester,111,340,237,540
260.jpg,1920,1080,Polymer Arrester,1253,528,1386,749
260.jpg,1920,1080,Polymer Arrester,1570,572,1701,807
682_DJI_0544.jpg,1920,1080,Dead-end Polymer Insulator,1205,147,1422,233
682_DJI_0544.jpg,1920,1080,Vertical Disconnect Switch,1058,312,1273,663
682_DJI_0544.jpg,1920,1080,Vertical Disconnect Switch,922,279,1154,628
682_DJI_0544.jpg,1920,1080,Vertical Disconnect Switch,798,284,1014,617
682_DJI_0544.jpg,1920,1080,Polymer Arrester,758,877,835,993
682_DJI_0544.jpg,1920,1080,Polymer Arrester,831,895,926,1020
682_DJI_0544.jpg,1920,1080,Polymer Arrester,918,925,1010,1045
1428_DJI_0582 (2).jpg,1920,1080,Vertical Disconnect Switch,1015,704,1336,977
1428_DJI_0582 (2).jpg,1920,1080,Dead-end Polymer Insulator,744,423,863,462
1428_DJI_0582 (2).jpg,1920,1080,Dead-end Polymer Insulator,1095,414,1275,451
1428_DJI_0582 (2).jpg,1920,1080,Dead-end Polymer Insulator,1133,387,1281,422
1428_DJI_0582 (2).jpg,1920,1080,Line Tension Switch,873,416,1006,457
1428_DJI_0582 (2).jpg,1920,1080,Polymer Insulator,996,445,1098,547
1428_DJI_0582 (2).jpg,1920,1080,Polymer Insulator,1106,397,1142,543
1428_DJI_0582 (2).jpg,1920,1080,Polymer Insulator,1142,407,1184,544
247.jpg,1920,1080,Ceramic/Porcelain Insulator,819,163,873,236
247.jpg,1920,1080,Ceramic/Porcelain Insulator,961,205,1007,280
247.jpg,1920,1080,Ceramic/Porcelain Insulator,1158,273,1202,344
247.jpg,1920,1080,Ceramic/Porcelain Insulator,1307,325,1357,395
247.jpg,1920,1080,Dead-end Ceramic Insulator,781,236,850,381
247.jpg,1920,1080,Dead-end Ceramic Insulator,943,279,986,345
247.jpg,1920,1080,Dead-end Ceramic Insulator,1107,347,1173,496
247.jpg,1920,1080,Dead-end Ceramic Insulator,1262,403,1322,551
247.jpg,1920,1080,Polymer Arrester,838,252,886,320
247.jpg,1920,1080,Polymer Arrester,1162,359,1210,424
247.jpg,1920,1080,Polymer Arrester,1253,393,1299,453
247.jpg,1920,1080,Dead-end Ceramic Insulator,854,124,937,221
247.jpg,1920,1080,Dead-end Ceramic Insulator,990,215,1033,265
247.jpg,1920,1080,Dead-end Ceramic Insulator,1187,203,1246,299
247.jpg,1920,1080,Dead-end Ceramic Insulator,1326,252,1379,336
370_DJI_0185 (2).jpg,1920,1080,Jiffy Splice,253,528,1441,735
130.jpg,1920,1080,Ceramic/Porcelain Insulator,425,289,563,495
130.jpg,1920,1080,Ceramic/Porcelain Insulator,827,599,891,731
130.jpg,1920,1080,Polymer Arrester,623,468,731,629
130.jpg,1920,1080,Polymer Arrester,890,656,953,776
130.jpg,1920,1080,Polymer Arrester,935,688,989,796
214.jpg,1920,1080,Ceramic/Porcelain Insulator,803,405,905,567
214.jpg,1920,1080,Polymer Arrester,913,539,1009,640
1119.jpg,1920,1080,Ceramic/Porcelain Insulator,626,639,1641,1080
233.jpg,1920,1080,Ceramic/Porcelain Insulator,643,365,710,479
233.jpg,1920,1080,Ceramic/Porcelain Insulator,805,375,887,495
233.jpg,1920,1080,Ceramic/Porcelain Insulator,1094,384,1182,517
233.jpg,1920,1080,Ceramic/Porcelain Insulator,1355,392,1443,547
233.jpg,1920,1080,Dead-end Ceramic Insulator,482,480,658,560
233.jpg,1920,1080,Dead-end Ceramic Insulator,758,495,839,553
233.jpg,1920,1080,Dead-end Ceramic Insulator,953,527,1103,615
233.jpg,1920,1080,Dead-end Ceramic Insulator,1211,549,1397,673
233.jpg,1920,1080,Polymer Arrester,621,469,687,564
233.jpg,1920,1080,Polymer Arrester,1102,508,1183,616
1346.jpg,1920,1080,Ceramic/Porcelain Insulator,921,195,1579,755
1433.jpg,1920,1080,Ceramic/Porcelain Insulator,511,16,1125,323
1211.jpg,1920,1080,Ceramic/Porcelain Insulator,953,61,1414,833
483.jpg,1920,1080,Polymer Arrester,1062,489,1434,849
483.jpg,1920,1080,Polymer Arrester,1673,560,1920,1029
483.jpg,1920,1080,Ceramic/Porcelain Insulator,1179,1,1539,407
542.jpg,1920,1080,Ceramic/Porcelain Insulator,1,1,433,399
542.jpg,1920,1080,Ceramic/Porcelain Insulator,915,1,1278,337
542.jpg,1920,1080,Polymer Arrester,571,376,1082,971
542.jpg,1920,1080,Polymer Arrester,1015,357,1466,891
114_DJI_0057 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,605,604,681,720
114_DJI_0057 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,702,601,779,720
114_DJI_0057 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,653,456,711,536
114_DJI_0057 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,727,463,781,541
114_DJI_0057 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,673,420,727,468
114_DJI_0057 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,737,424,790,467
114_DJI_0057 (2).jpg,1920,1080,Mushroom Insulator,629,544,695,600
114_DJI_0057 (2).jpg,1920,1080,Mushroom Insulator,706,546,779,604
746_DJI_0608.jpg,1920,1080,Vertical Disconnect Switch,794,160,1074,303
746_DJI_0608.jpg,1920,1080,Vertical Disconnect Switch,803,459,1085,628
746_DJI_0608.jpg,1920,1080,Vertical Disconnect Switch,817,753,1094,900
746_DJI_0608.jpg,1920,1080,Dead-end Polymer Insulator,493,125,786,180
746_DJI_0608.jpg,1920,1080,Dead-end Polymer Insulator,501,407,791,471
746_DJI_0608.jpg,1920,1080,Dead-end Polymer Insulator,522,689,803,760
746_DJI_0608.jpg,1920,1080,Dead-end Polymer Insulator,1111,688,1423,759
746_DJI_0608.jpg,1920,1080,Polymer Arrester,718,208,803,305
746_DJI_0608.jpg,1920,1080,Polymer Arrester,1081,180,1178,283
746_DJI_0608.jpg,1920,1080,Polymer Arrester,722,497,818,608
746_DJI_0608.jpg,1920,1080,Polymer Arrester,729,783,823,888
746_DJI_0608.jpg,1920,1080,Polymer Arrester,1098,491,1191,593
746_DJI_0608.jpg,1920,1080,Polymer Arrester,1103,777,1203,893
746_DJI_0608.jpg,1920,1080,Dead-end Polymer Insulator,1061,89,1409,161
746_DJI_0608.jpg,1920,1080,Dead-end Polymer Insulator,1078,393,1425,453
1176.jpg,1920,1080,Ceramic/Porcelain Insulator,509,197,1254,599
1176.jpg,1920,1080,Dead-end Ceramic Insulator,1,877,1203,1080
476_DJI_0240.jpg,1920,1080,Jiffy Splice,227,484,413,588
476_DJI_0240.jpg,1920,1080,Jiffy Splice,482,640,685,775
476_DJI_0240.jpg,1920,1080,Polymer Insulator,1281,73,1342,260
476_DJI_0240.jpg,1920,1080,Polymer Insulator,1099,48,1153,212
476_DJI_0240.jpg,1920,1080,Polymer Insulator,754,1,810,125
476_DJI_0240.jpg,1920,1080,Polymer Insulator,786,357,889,427
476_DJI_0240.jpg,1920,1080,Polymer Insulator,1202,529,1319,620
476_DJI_0240.jpg,1920,1080,Dead-end Polymer Insulator,605,128,789,220
476_DJI_0240.jpg,1920,1080,Dead-end Polymer Insulator,827,180,1017,288
476_DJI_0240.jpg,1920,1080,Dead-end Polymer Insulator,1101,248,1294,381
476_DJI_0240.jpg,1920,1080,Dead-end Polymer Insulator,870,60,1009,109
476_DJI_0240.jpg,1920,1080,Dead-end Polymer Insulator,1357,155,1486,228
476_DJI_0240.jpg,1920,1080,Dead-end Polymer Insulator,1091,97,1223,152
284_DJI_0142 (2).jpg,1920,1080,Line Tension Switch,1093,341,1193,428
284_DJI_0142 (2).jpg,1920,1080,Line Tension Switch,923,332,1025,408
284_DJI_0142 (2).jpg,1920,1080,Line Tension Switch,857,341,933,408
284_DJI_0142 (2).jpg,1920,1080,Dead-end Polymer Insulator,1190,335,1282,377
284_DJI_0142 (2).jpg,1920,1080,Dead-end Polymer Insulator,1015,329,1127,373
284_DJI_0142 (2).jpg,1920,1080,Dead-end Polymer Insulator,949,320,1050,365
643.jpg,1920,1080,Ceramic/Porcelain Insulator,1090,379,1315,501
643.jpg,1920,1080,Ceramic/Porcelain Insulator,1085,760,1274,868
643.jpg,1920,1080,Ceramic/Porcelain Insulator,1087,975,1337,1080
750_DJI_0612.jpg,1920,1080,Polymer Insulator,885,61,1134,179
750_DJI_0612.jpg,1920,1080,Polymer Arrester,831,372,914,496
1342.jpg,1920,1080,Ceramic/Porcelain Insulator,897,621,1808,1080
459.jpg,1920,1080,Polymer Arrester,503,59,1233,815
459.jpg,1920,1080,Dead-end Polymer Insulator,1,72,1309,386
459.jpg,1920,1080,Under-mounted Switch,1259,419,1920,1079
459.jpg,1920,1080,Polymer Arrester,1301,1,1920,491
438.jpg,1920,1080,Dead-end Polymer Insulator,502,508,574,625
438.jpg,1920,1080,Dead-end Polymer Insulator,882,509,934,627
438.jpg,1920,1080,Dead-end Polymer Insulator,1235,519,1317,615
438.jpg,1920,1080,Under-mounted Switch,617,533,699,633
438.jpg,1920,1080,Under-mounted Switch,753,531,819,641
438.jpg,1920,1080,Under-mounted Switch,1127,528,1203,648
438.jpg,1920,1080,Polymer Arrester,557,531,602,596
438.jpg,1920,1080,Polymer Arrester,809,531,860,594
438.jpg,1920,1080,Polymer Arrester,1197,533,1247,609
170_DJI_0085 (2).jpg,1920,1080,Mushroom Insulator,630,476,664,505
170_DJI_0085 (2).jpg,1920,1080,Mushroom Insulator,712,462,748,496
170_DJI_0085 (2).jpg,1920,1080,Mushroom Insulator,917,441,955,474
441.jpg,1920,1080,Dead-end Polymer Insulator,533,588,614,685
441.jpg,1920,1080,Dead-end Polymer Insulator,887,584,942,696
441.jpg,1920,1080,Dead-end Polymer Insulator,1242,584,1314,687
441.jpg,1920,1080,Polymer Arrester,606,604,653,668
441.jpg,1920,1080,Polymer Arrester,962,607,1005,671
441.jpg,1920,1080,Polymer Arrester,1205,592,1253,657
441.jpg,1920,1080,Under-mounted Switch,650,600,731,703
441.jpg,1920,1080,Under-mounted Switch,1009,604,1066,717
441.jpg,1920,1080,Under-mounted Switch,1137,600,1197,717
200_DJI_0100 (2).jpg,1920,1080,Compression/Crimped Splice,574,351,1207,656
200_DJI_0100 (2).jpg,1920,1080,Mushroom Insulator,425,1,683,176
292.jpg,1920,1080,Polymer Arrester,527,507,826,1004
292.jpg,1920,1080,Polymer Arrester,1,404,253,793
241.jpg,1920,1080,Polymer Arrester,775,112,1209,792
241.jpg,1920,1080,Dead-end Ceramic Insulator,1,7,954,925
428_DJI_0214 (2).jpg,1920,1080,Compression/Crimped Splice,474,121,1542,528
417.jpg,1920,1080,Polymer Arrester,645,261,971,913
417.jpg,1920,1080,Polymer Arrester,1,253,242,732
417.jpg,1920,1080,Polymer Arrester,1254,1,1572,425
477.jpg,1920,1080,Polymer Arrester,246,455,399,607
477.jpg,1920,1080,Polymer Arrester,1094,245,1262,445
477.jpg,1920,1080,Polymer Arrester,1397,144,1563,356
477.jpg,1920,1080,Ceramic/Porcelain Insulator,334,297,467,497
477.jpg,1920,1080,Ceramic/Porcelain Insulator,1118,52,1273,292
477.jpg,1920,1080,Ceramic/Porcelain Insulator,1593,1,1762,196
1244.jpg,1920,1080,Ceramic/Porcelain Insulator,808,183,860,233
1244.jpg,1920,1080,Ceramic/Porcelain Insulator,812,311,864,357
1244.jpg,1920,1080,Ceramic/Porcelain Insulator,817,437,867,483
1244.jpg,1920,1080,Polymer Arrester,759,213,804,274
1244.jpg,1920,1080,Polymer Arrester,772,405,807,461
1244.jpg,1920,1080,Polymer Arrester,943,453,972,508
79.jpg,1920,1080,Ceramic/Porcelain Insulator,670,409,717,485
79.jpg,1920,1080,Ceramic/Porcelain Insulator,783,405,834,488
79.jpg,1920,1080,Ceramic/Porcelain Insulator,1105,408,1159,493
79.jpg,1920,1080,Polymer Arrester,1007,472,1043,528
544.jpg,1920,1080,Polymer Arrester,694,284,1057,659
544.jpg,1920,1080,Ceramic/Porcelain Insulator,545,1,849,283
196_DJI_0098 (2).jpg,1920,1080,Mushroom Insulator,1,204,253,807
1204.jpg,1920,1080,Ceramic/Porcelain Insulator,191,315,841,633
1204.jpg,1920,1080,Dead-end Ceramic Insulator,1,892,785,1079
1473.jpg,1920,1080,Polymer Arrester,610,1,773,211
1473.jpg,1920,1080,Ceramic/Porcelain Insulator,438,249,798,439
1473.jpg,1920,1080,Polymer Arrester,1063,508,1299,773
1473.jpg,1920,1080,Dead-end Ceramic Insulator,1,439,787,748
1473.jpg,1920,1080,Dead-end Ceramic Insulator,943,239,1647,447
193.jpg,1920,1080,Ceramic/Porcelain Insulator,811,127,857,195
193.jpg,1920,1080,Ceramic/Porcelain Insulator,969,205,1030,285
193.jpg,1920,1080,Ceramic/Porcelain Insulator,1063,255,1119,336
193.jpg,1920,1080,Polymer Arrester,1010,312,1041,363
679_DJI_0541.jpg,1920,1080,Dead-end Polymer Insulator,943,143,1061,191
679_DJI_0541.jpg,1920,1080,Dead-end Polymer Insulator,950,363,1051,413
679_DJI_0541.jpg,1920,1080,Ceramic/Porcelain Insulator,835,171,935,232
679_DJI_0541.jpg,1920,1080,Ceramic/Porcelain Insulator,955,180,1042,225
679_DJI_0541.jpg,1920,1080,Vertical Disconnect Switch,873,444,989,628
679_DJI_0541.jpg,1920,1080,Vertical Disconnect Switch,819,437,920,615
679_DJI_0541.jpg,1920,1080,Vertical Disconnect Switch,750,434,860,599
679_DJI_0541.jpg,1920,1080,Polymer Arrester,726,735,771,796
679_DJI_0541.jpg,1920,1080,Polymer Arrester,765,741,810,805
679_DJI_0541.jpg,1920,1080,Polymer Arrester,807,759,853,817
1508_DJI_0632 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,1037,171,1085,219
1508_DJI_0632 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,1035,275,1087,320
1508_DJI_0632 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,1033,383,1089,425
1508_DJI_0632 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,1103,312,1150,361
1508_DJI_0632 (2).jpg,1920,1080,Dead-end Ceramic Insulator,1111,496,1251,535
1508_DJI_0632 (2).jpg,1920,1080,Ceramic/Porcelain Arrester,1053,524,1091,604
1508_DJI_0632 (2).jpg,1920,1080,Jiffy Splice,1466,767,1563,788
1508_DJI_0632 (2).jpg,1920,1080,Jiffy Splice,1806,741,1914,761
440_DJI_0220 (2).jpg,1920,1080,Polymer Insulator,1658,397,1737,592
440_DJI_0220 (2).jpg,1920,1080,Polymer Insulator,1485,455,1557,624
440_DJI_0220 (2).jpg,1920,1080,Polymer Insulator,1166,547,1234,717
440_DJI_0220 (2).jpg,1920,1080,Polymer Insulator,1029,595,1085,748
440_DJI_0220 (2).jpg,1920,1080,Polymer Arrester,1025,704,1097,804
440_DJI_0220 (2).jpg,1920,1080,Dead-end Polymer Insulator,867,723,1054,781
440_DJI_0220 (2).jpg,1920,1080,Dead-end Polymer Insulator,1545,541,1686,611
440_DJI_0220 (2).jpg,1920,1080,Dead-end Polymer Insulator,1722,608,1854,701
440_DJI_0220 (2).jpg,1920,1080,Dead-end Polymer Insulator,1098,776,1217,864
440_DJI_0220 (2).jpg,1920,1080,Dead-end Polymer Insulator,1226,731,1355,823
440_DJI_0220 (2).jpg,1920,1080,Line Tension Switch,1211,792,1314,925
440_DJI_0220 (2).jpg,1920,1080,Line Tension Switch,1845,637,1920,784
58.jpg,1920,1080,Ceramic/Porcelain Insulator,743,171,791,249
58.jpg,1920,1080,Ceramic/Porcelain Insulator,1030,139,1086,231
58.jpg,1920,1080,Ceramic/Porcelain Insulator,1183,128,1237,224
58.jpg,1920,1080,Polymer Arrester,906,377,962,469
58.jpg,1920,1080,Polymer Arrester,769,394,804,464
487.jpg,1920,1080,Ceramic/Porcelain Insulator,715,209,775,297
487.jpg,1920,1080,Ceramic/Porcelain Insulator,1017,439,1077,531
487.jpg,1920,1080,Ceramic/Porcelain Insulator,1158,555,1223,652
487.jpg,1920,1080,Polymer Arrester,695,323,759,371
487.jpg,1920,1080,Polymer Arrester,989,561,1065,624
487.jpg,1920,1080,Polymer Arrester,1087,627,1147,689
1463.jpg,1920,1080,Ceramic/Porcelain Insulator,967,279,1030,351
1463.jpg,1920,1080,Ceramic/Porcelain Insulator,967,363,1029,428
1463.jpg,1920,1080,Ceramic/Porcelain Insulator,973,436,1027,501
1463.jpg,1920,1080,Polymer Arrester,1014,240,1062,319
1463.jpg,1920,1080,Polymer Arrester,1009,387,1045,456
1485.jpg,1920,1080,Ceramic/Porcelain Insulator,697,312,1920,968
372.jpg,1920,1080,Ceramic/Porcelain Insulator,698,349,757,429
372.jpg,1920,1080,Ceramic/Porcelain Insulator,1018,213,1069,281
372.jpg,1920,1080,Ceramic/Porcelain Insulator,1133,160,1180,227
1453.jpg,1920,1080,Ceramic/Porcelain Insulator,347,296,1050,721
1453.jpg,1920,1080,Polymer Arrester,834,1,1011,381
95.jpg,1920,1080,Ceramic/Porcelain Arrester,799,84,877,245
95.jpg,1920,1080,Ceramic/Porcelain Arrester,845,113,913,265
95.jpg,1920,1080,Mushroom Insulator,689,1,790,84
22.jpg,1920,1080,Ceramic/Porcelain Insulator,615,341,1187,957
1174.jpg,1920,1080,Ceramic/Porcelain Insulator,461,180,733,331
1174.jpg,1920,1080,Ceramic/Porcelain Insulator,453,749,706,896
1174.jpg,1920,1080,Dead-end Ceramic Insulator,171,363,718,491
1174.jpg,1920,1080,Dead-end Ceramic Insulator,165,991,687,1080
1429.jpg,1920,1080,Ceramic/Porcelain Insulator,590,149,1201,479
1171.jpg,1920,1080,Polymer Arrester,850,211,1195,527
17.jpg,1920,1080,Dead-end Ceramic Insulator,883,497,1370,1080
688_DJI_0550.jpg,1920,1080,Vertical Disconnect Switch,1049,257,1285,669
688_DJI_0550.jpg,1920,1080,Vertical Disconnect Switch,957,264,1159,672
688_DJI_0550.jpg,1920,1080,Vertical Disconnect Switch,787,284,1019,647
688_DJI_0550.jpg,1920,1080,Polymer Arrester,737,917,814,1048
688_DJI_0550.jpg,1920,1080,Polymer Arrester,809,921,906,1048
688_DJI_0550.jpg,1920,1080,Polymer Arrester,902,929,998,1060
688_DJI_0550.jpg,1920,1080,Dead-end Polymer Insulator,1217,120,1465,209
228.jpg,1920,1080,Polymer Arrester,678,11,1203,921
551.jpg,1920,1080,Polymer Arrester,651,160,938,443
551.jpg,1920,1080,Ceramic/Porcelain Insulator,957,1,1257,323
152.jpg,1920,1080,Ceramic/Porcelain Insulator,690,187,749,279
152.jpg,1920,1080,Ceramic/Porcelain Insulator,645,280,737,349
152.jpg,1920,1080,Ceramic/Porcelain Insulator,914,225,1003,309
152.jpg,1920,1080,Ceramic/Porcelain Insulator,825,327,913,428
152.jpg,1920,1080,Ceramic/Porcelain Insulator,1050,352,1153,436
152.jpg,1920,1080,Dead-end Polymer Insulator,1035,129,1161,189
152.jpg,1920,1080,Dead-end Polymer Insulator,973,1,1079,64
152.jpg,1920,1080,Dead-end Polymer Insulator,805,1,899,36
152.jpg,1920,1080,Compression/Crimped Splice,449,549,546,640
152.jpg,1920,1080,Compression/Crimped Splice,670,616,746,731
152.jpg,1920,1080,Compression/Crimped Splice,895,707,963,833
